id,intent,text
132,PlayMusic,Play a  record  from the  seventies
133,PlayMusic,open the  Canciones del Recuerdo  playlist and play songs
134,PlayMusic,Play the  top-10   chant  by  Caetano Veloso  on  Pandora
135,PlayMusic,Play  Water Under The Bridge  by  Hariprasad Chaurasia .
136,PlayMusic,play  Matt Uelmen  songs from  1965  on  Slacker
137,PlayMusic,I want to hear  Shooby Taylor 's  Tearing Up The Album Charts .
138,PlayMusic,Play  Niko  from the  fourties
139,PlayMusic,Play  Clásicos del Hip Hop Español
140,PlayMusic,Play  Circus Farm  by  Deana Carter .
141,PlayMusic,play some  nineties  music
142,PlayMusic,play music by  Bryan Maclean
143,PlayMusic,Play  POP GOES THE 80s .
144,PlayMusic,Play music from  2015
145,PlayMusic,Play music from  1964
146,PlayMusic,Play me songs from  agreable
147,PlayMusic,Play  tune  from  Sonny Stitt
148,PlayMusic,Play some  50 Shades of Love
149,PlayMusic,Play some  sixties  music on  Slacker .
150,PlayMusic,Play  Tomorrow
151,PlayMusic,Can you play a  sound track  by  Sissieretta Jones
152,PlayMusic,Play me a  nineties   song  by  Joseph Genaro
153,PlayMusic,I want to hear  Sarban 's  greatest  hits
154,PlayMusic,play  ray davies  on  Iheart  by only  Hit It Again
155,PlayMusic,Play my  88 Keys  playlist.
156,PlayMusic,Play some  Rockwell  from around  1996
157,PlayMusic,Play me a  top 20   chant  by  Ruwanga Samath  on  Lastfm
158,PlayMusic,play something from the  twenties
159,PlayMusic,Play  Ciribiribin  by  Sandeep Khare
160,PlayMusic,play some  1991   Dave Barker
161,PlayMusic,Play  Wynton Kelly  music on  Netflix  sort by  popular
162,PlayMusic,Play  bebob  on  Iheart
163,PlayMusic,Play the  top 5  by  Akira The Don .
164,PlayMusic,play some  rap  on  Pandora
165,PlayMusic,Play a  melody  from  Elmer Bernstein
166,PlayMusic,play  The Necromancer
167,PlayMusic,Can you play  Under The Anheuser Bush  by  Pete Doherty
168,PlayMusic,Play any  song  from  2001
169,PlayMusic,I want to hear some music from  Groove Shark
170,PlayMusic,Play  Sound Of Love  from  Papa Mali
171,PlayMusic,I wanna hear something on  Spotify  by  Eddie Vinson
172,PlayMusic,Play a  twenties   track  by the  aj carothers  on  Zvooq .
173,PlayMusic,Play  Magic Time  by  Phoebus
174,PlayMusic,Play  Johnny Gimble
175,PlayMusic,play music from  1981
176,PlayMusic,play music on  Netflix
177,PlayMusic,Play a  tune  by  Andrew Findon
178,PlayMusic,"Play the playlist,  A Mis Niños de 30 ."
179,PlayMusic,Play some  chanson  music
180,PlayMusic,Play a  movement  from  1974 .
181,PlayMusic,Can you play  Maggie Mae  on  Netflix
182,PlayMusic,Play music by  Young Steff
183,PlayMusic,Play  Barbra Streisand  music from  1997 .
184,PlayMusic,Play  greatest   chant  music from  Beni Arashiro
185,PlayMusic,play  Make The Cowboy Robots Cry  by  Sabin Rai  on  Vimeo
186,PlayMusic,Can you play me songs from the  Estado de ánimo  playlist?
187,PlayMusic,Play music by  Janet Paschal
188,PlayMusic,Play  Praise The Lord And Pass The Ammunition .
189,PlayMusic,Please play  Short And Sweet  by  Teyana Taylor  from my  itunes .
190,PlayMusic,Play  fourties  music on  Pandora .
191,PlayMusic,Play music by  Damien Rice
192,PlayMusic,Play some  Rachel Stevens  off of  Itunes
193,PlayMusic,Play music from the  seventies  for me. 
194,PlayMusic,Play some  Tony Grant .
195,PlayMusic,play  Andy White
196,PlayMusic,Use  Google Music  to play a  song
197,PlayMusic,Play  Spotify
198,PlayMusic,Play music from  2007 .
199,PlayMusic,Play me a  song  from the  sixties
200,PlayMusic,play  Robin Trower   Unravel
201,PlayMusic,play the  top twenty   movement  songs from  Roberto Valverde
202,PlayMusic,Play  hanging in the balance  by  Nik Kershaw  on  Zvooq .
203,PlayMusic,Play the  album   Vibrations  by  Marion Elise Raven
204,PlayMusic,play a  track  by  Mila Islam  from  Deezer
205,PlayMusic,play  Jawad Ahmad
206,PlayMusic,play  fourties  tunes by  Bryan Webb  on  Groove Shark
207,PlayMusic,play  Party Ben  on  Slacker
208,PlayMusic,Use  Groove Shark  to play music from the  nineties
209,PlayMusic,Play  eighties  music
210,PlayMusic,play my  Madrugando  playlist on  Groove Shark
211,PlayMusic,play  Darude
212,PlayMusic,Play  Shinji Miyazaki 's music on  netflix
213,PlayMusic,Play  2gether  by  Jade Puget
214,PlayMusic,play  Wow  by  Jon Theodore
215,PlayMusic,play  Doctor Fink   if i could choose
216,PlayMusic,Please open  pandora  for me
217,PlayMusic,Can I hear a  tune  from  Vladimir Vysotski ?
218,PlayMusic,Please play  Different Slanguages  by  Fred Labour .
219,PlayMusic,play music from the  sixties
220,PlayMusic,I want to hear  Somi 's songs from the  twenties
221,PlayMusic,play  Tom Jones   album  from the  twenties
222,PlayMusic,play songs on  Itunes
223,PlayMusic,play a  chant  by  Sonsee
224,PlayMusic,Play my  Piano Ballads  playlist.
225,PlayMusic,play the  album   a kiss before you go  by  Bt
226,PlayMusic,Play the  Instrumental Study  on  Vimeo .
227,PlayMusic,Play some  salsa  music.
228,PlayMusic,Play  top   Rosanne Cash
229,PlayMusic,play  Slacker  tunes
230,PlayMusic,Play the  most popular   soundtrack  by  Elena Paparizou  on  youtube
231,PlayMusic,Play  Midnight Special
232,PlayMusic,play  pop  music with  Groove Shark
233,PlayMusic,play  Takes Place In Your Work Space  by  Eddie Kendricks
234,PlayMusic,Play  eighties  music by  Kaira Kwong  on  Google Music
235,PlayMusic,play  1970  trunes
236,PlayMusic,Play  breathtaking  music
237,PlayMusic,Play a  track  from  1985 .
238,PlayMusic,Play  shining down  by  Tsukiko Amano  on  pandora .
239,PlayMusic,play  Who Do You Think You Are  by  Magnifico  with  spotify
240,PlayMusic,Play  tribal
241,PlayMusic,Play  Rain  by  Subliminal  on  Groove Shark
242,PlayMusic,Play  ballad  music from  1958
243,PlayMusic,Repeat  the  track  of music
244,PlayMusic,Play the playlist  introspective
245,PlayMusic,Please play a  song  from the  thirties  by  Peter Murphy  on  Last Fm
246,PlayMusic,Play  Party Through The Decades  on  Deezer
247,PlayMusic,Play  Martha My Dear  by  shannon .
248,PlayMusic,play the  greatest   Adrian Kowanek  music
249,PlayMusic,Can I hear a  symphony  from the  seventies  on  Youtube ?
250,PlayMusic,I'd like to listen to  Space  music
251,PlayMusic,play the  last   Niney The Observer   song
252,PlayMusic,Play a  chant  by  Mj Cole
253,PlayMusic,Play  industrial  music.
254,PlayMusic,Play  always  by  walter parazaider .
255,PlayMusic,Play  thirties  on  Lastfm
256,PlayMusic,play music form the  fourties  with  Slacker
257,PlayMusic,Use  pandora  to play music from  stano  in the year  2005
258,PlayMusic,Use  Groove Shark  to play  Krizz Kaliko
259,PlayMusic,Play the music of  Filipp Bedrossowitsch Kirkorow 's  theme
260,PlayMusic,Play  Skin & Bone  by  Jess Stacy  on  Deezer
261,PlayMusic,Play me a  seventies   ep
262,PlayMusic,play  falco  on  Zvooq  for  Good Hit
263,PlayMusic,On  Itunes  play the  latest   Anna Yesipova   ep
264,PlayMusic,Play music from the  track   She Came In Through The Bathroom Window
265,PlayMusic,play some  best  selling  rave  songs
266,PlayMusic,Play  Change Has Come  on  Google Music .
267,PlayMusic,Play the  newest  stuff by  blowfly
268,PlayMusic,Play the playlist  spring
269,PlayMusic,I want to hear something from the  nineties  by  Alissa Musto  on  Groove Shark
270,PlayMusic,Play  Trace Adkins ' music from the  thirties .
271,PlayMusic,Play a  soundtrack  from  1954 .
272,PlayMusic,"Can you play something from the  fourties , preferably a  symphony ?"
273,PlayMusic,play  Clifford Brown All Stars  by  Michael Balzary
274,PlayMusic,play  Pandora   Christian Gangsta Rap
275,PlayMusic,Play any  chanson
276,PlayMusic,Play a  chant  from the  fifties
277,PlayMusic,Play  Leanne Dobinson   Right To Dream
278,PlayMusic,play  The Happiest Days Of Our Lives  by  Tommy Emmanuel
279,PlayMusic,Please play  This Is The Day  by  Brian Robertson .
280,PlayMusic,play  Abhijeet Bhattacharya  from  1986
281,PlayMusic,Play a  new   tune  by  louis silvers .
282,PlayMusic,Play me a  song  by  Steve Hackett  from  Manuel
283,PlayMusic,Play  Portsmouth  by  Paul Smith  on  Google Music .
284,PlayMusic,Play  Dj Drama  from the  1976
285,PlayMusic,play  my tribute  by  Billy Cox
286,PlayMusic,"Play the playlist,  Hardstyle, Baby ."
287,PlayMusic,Play me a  sound track  by  Bert Mccracken  on  zvooq
288,PlayMusic,Play some music from the  fourties .
289,PlayMusic,Play music on  Itunes .
290,PlayMusic,I want to hear a  Sandra   ep
291,PlayMusic,play  theme  by  Yanni  on  Vimeo
292,PlayMusic,play  fourties  tunes
293,PlayMusic,Play a  2004   song  by  eliel  on  Zvooq .
294,PlayMusic,Play some music on  Vimeo
295,PlayMusic,Play the  newest  music by  Gladys Knight
296,PlayMusic,play  Hora Din Moldova  by  Yamazaki Maso
297,PlayMusic,play the  album   Winner Takes All  by  Takuro  with  Last Fm
298,PlayMusic,Play the  best   ballad  by  The Rascals .
299,PlayMusic,Play me the  track   Mama Liked The Roses
300,PlayMusic,Play  eighties
301,PlayMusic,Play a  2014   theme  from  Greg Pattillo
302,PlayMusic,Play some music from  Roberto Carlos
303,PlayMusic,Play the concert from  Philip Oakey   1973  concert on  Netflix
304,PlayMusic,Play some music from  1995
305,PlayMusic,Play  Kaori Mochida 's  most popular  music on  Google Music .
306,PlayMusic,Play  A Chaos Of Desire  from  Dan Snaith
307,PlayMusic,Play music by  Country Dick Montana .
308,PlayMusic,play  chant  from the  nineties  with  Last Fm
309,PlayMusic,Play a  top 5   song  from  Wally Bastian  on  Google Music
310,PlayMusic,Play  White Noise .
311,PlayMusic,Play  ep  from  Quasimoto  from the  nineties
312,PlayMusic,play a  1988   soundtrack
313,PlayMusic,Play a  popular   sound track  by  Joe Pass  on  Itunes .
314,PlayMusic,Play something from the  jonathon lee   movement
315,PlayMusic,play  James Moody   ballad
316,PlayMusic,I want to listen to some music from  2003  on  Pandora  from  them
317,PlayMusic,play a  top 50    tune  from the  twenties  by  Willi Williams
318,PlayMusic,play  fifties   track  music
319,PlayMusic,Play  theme  music from  2011 .
320,PlayMusic,play music by  Billy Powell
321,PlayMusic,Play  One Good Reason  by  Tommy Flanagan  on  Itunes
322,PlayMusic,Play some  fun-punk
323,PlayMusic,Play me a  song  by  Dj Paul Elstak  in  1988  on  Zvooq
324,PlayMusic,Play  Hasan Saltik  from  2004
325,PlayMusic,I want to hear  popular  music from  Martin Lopez
326,PlayMusic,Play  A Sudden Rainstorm  playlist.
327,PlayMusic,play  wendy james  from the  fifties
328,PlayMusic,Use  Itunes  to play music
329,PlayMusic,Play a  Paul Davis   melody
330,PlayMusic,Play  Lorenzo Palacios Quispe
331,PlayMusic,Put on  Vimeo  and play  Kacapi Suling
332,PlayMusic,play a  soundtrack  by  Sarah Geronimo  on  google music
333,PlayMusic,Play me a  song  from  1976  by  Bennie Moten
334,PlayMusic,I want to hear  eighties  music by  Noko  on  deezer .
335,PlayMusic,Play some  Glenn Miller .
336,PlayMusic,Can I hear a  song  by  David Hodges ?
337,PlayMusic,Play  The New Retro  playlist on  Netflix .
338,PlayMusic,Play some  P. J. Proby
339,PlayMusic,Play  soundtrack  by  Armand Van Helden
340,PlayMusic,Play  The Lamentation Of Cloris
341,PlayMusic,I want to hear the new  Latin Pop Rising  list
342,PlayMusic,Please play some music from the  seventies   movement
343,PlayMusic,play  Signe Anderson   chant  music that is  newest
344,PlayMusic,play  Richard Thompson  from the  thirties   song  book
345,PlayMusic,Play  funtime activity
346,PlayMusic,Play me a  song  from  Luxury Liner
347,PlayMusic,I want to hear  De Eerste Keer  from  Paul Caiafa   off of  Google Music
348,PlayMusic,Play a  sixties   song .
349,PlayMusic,I want to hear some  twenties  music off of  Deezer
350,PlayMusic,Play some  movement  from  1959  on  deezer .
351,PlayMusic,play songs by  Queen
352,PlayMusic,Please play  good  music by  Will Oldham .
353,PlayMusic,Play a  song  from the  thirties  on  Zvooq
354,PlayMusic,play  Vanlose Stairway  by  Janove Ottesen
355,PlayMusic,Play me the  last   1980   record  by  Brenda Kahn
356,PlayMusic,Play music from the  top-5  from artist  Kenia Arias
357,PlayMusic,Lets hear some  2009  music
358,PlayMusic,Play some  bass  music.
359,PlayMusic,Play  Furusato  on  Google Music .
360,PlayMusic,Play  Party Anthems
361,PlayMusic,use  Iheart  radio to play  eighties  music from  Hugh Masekela .
362,PlayMusic,Play a  symphony  from  Bob Hardy  please
363,PlayMusic,Play some  eighties  music.
364,PlayMusic,Play a  1964   track  from  Shahram Nazeri  on  Pandora .
365,PlayMusic,Sort to the  last   song  on playlist from  1983  a  chant  by  Mark Oliver Everett
366,PlayMusic,Play a  new   symphony  by  Perfecto De Castro  on  Lastfm
367,PlayMusic,Play some music from the  thirties .
368,PlayMusic,Play some  Matthew Sweet  music from around  1996  on  Spotify
369,PlayMusic,open  lastfm   play  top  hits of  Simon Webbe
370,PlayMusic,play  1981  music on  Last Fm
371,PlayMusic,Play a  track  from  1959 .
372,PlayMusic,Play  chant  music by  Big Dee Irwin .
373,PlayMusic,"Play me  Gil Parris 's  A Cup Of Coffee, A Sandwich And You"
374,PlayMusic,Play  Pura Vida .
375,PlayMusic,Play a  top fifty   ballad  by  Linda Strawberry  on  Google Music
376,PlayMusic,use  Spotify  to play  greatest  songs from  Kailash Kher
377,PlayMusic,Play the  newest   melody  by  Cisco Adler  on  pandora
378,PlayMusic,Use service  Vimeo  to play music from the artist  Mick   track   Now We Are 5
379,PlayMusic,Open  Youtube  and play  Renaldo Lapuz   record  from the  eighties
380,PlayMusic,play some  good   amber gristak  on  Lastfm
381,PlayMusic,play some  synthpop
382,PlayMusic,Play music from my  relentless  playlist
383,PlayMusic,Plpay my  Disco Fever  playlist.
384,PlayMusic,play  valerij kipelov  on  Vimeo
385,PlayMusic,Can you play  The Change Is Made  on  Netflix
386,PlayMusic,Play some  Robbie Merrill .
387,PlayMusic,Play me a  song  from the  twenties  by  Randy Bachman
388,PlayMusic,I need to hear some  r&b  music off of  iheart
389,PlayMusic,Play some  dance  music.
390,PlayMusic,Play  new  music from  Liang Wern Fook
391,PlayMusic,listen to  Pmd   symphony
392,PlayMusic,play  By The Sleepy Lagoon  by  Greg Kurstin
393,PlayMusic,I want to listen to some  Saori Atsumi  from the  twenties  on  Deezer
394,PlayMusic,Play some  gangsta  music
395,PlayMusic,Play  The Eternal  by  Juju Mob  on  Vimeo .
396,PlayMusic,Play me a  Mario Vazquez   movement
397,PlayMusic,Play music on  Lastfm
398,PlayMusic,Play  Eve
399,PlayMusic,Play music from  2011 .
400,PlayMusic,Play some  Psychedelic Rock .
401,PlayMusic,play  Top 100 Indie Tracks on Spotify  on  Lastfm
402,PlayMusic,play an  eighties   track  
403,PlayMusic,Can you play me some  eighties  music by  Adele
404,PlayMusic,Play  Oliver Cheatham 's  symphony  from the  thirties .
405,PlayMusic,Play  chant  music by  Ira Losco  on  Iheart .
406,PlayMusic,Play me the  most popular   Lillian Hardin   song  on  Itunes
407,PlayMusic,Play  the red room sessions  from  chris cunningham
408,PlayMusic,Can i use  Lastfm  to listen to  Twilight Time  by  Dj Khalil ?
409,PlayMusic,I want to listen to  Roger Daltrey  from the  sixties  on  slacker
410,PlayMusic,Play music from  Tommy Ridgley .
411,PlayMusic,play  All Of Your Toys  by  Chris Ledoux
412,PlayMusic,Play music by  Fidel Nadal  sorted by  newest .
413,PlayMusic,Play  Shaina Magdayao 's music on  Iheart
414,PlayMusic,I need to hear a  thirties   soundtrack
415,PlayMusic,Play  Dave Wyndorf   album
416,PlayMusic,Play me a  song  by  Linn Berggren  from  Spotify
417,PlayMusic,Play me something by  Funtwo
418,PlayMusic,Play some  The Lady Is A Tramp  from  Timour Moutsouraev
419,PlayMusic,play  pandora   tracks  by  Akhtar Sadmani
420,PlayMusic,Please play some music from  1996
421,PlayMusic,Use the service  Lastfm  to play music by the artist  ai kago
422,PlayMusic,Can you play a  song  by  Ken
423,PlayMusic,Play music using  Last Fm
424,PlayMusic,play some  Kyle Ward  from the  seventies
425,PlayMusic,Play  Bald  by  Kaskade .
426,PlayMusic,Play me some music on  Deezer
427,PlayMusic,Play my  Futuros Hits  playlist on  Spotify .
428,PlayMusic,Play  Strength of Street Knowledge  on  Groove Shark
429,PlayMusic,Use  Pandora  to play  Korean OSTs
430,PlayMusic,Play some  Gospel  music.
431,PlayMusic,Play  satire
432,PlayMusic,Play the  top 20   ep  from the  fifties  by  John Bundrick .
433,PlayMusic,Play  Alfredo Zitarrosa  on  spotify .
434,PlayMusic,Play me some  Terror  music
435,PlayMusic,Play music from  2010  by  Jason Donovan
436,PlayMusic,Play me something on  Last Fm
437,PlayMusic,Play  Giovanni Battista Guadagnini 's  1982   tracks .
438,PlayMusic,Play some  Rumba Africana .
439,PlayMusic,Play  Greg Raposo  songs from the  thirties
440,PlayMusic,Play a  top-five   song  by  Pete Candoli .
441,PlayMusic,Play  Iheart
442,PlayMusic,Play the  symphony  by  Tetsuya Ogawa  from  1953
443,PlayMusic,Can you play me some  Pop-folk  music
444,PlayMusic,Play that  new   song  from  1970
445,PlayMusic,Play some  space  music on  Google Music
446,PlayMusic,Play a  song  by  Juanes  on  Last Fm
447,PlayMusic,Play  Salmonella Dub Dvd  by  mario rubalcaba  on  Vimeo  
448,PlayMusic,Play some music from  1958  on  Deezer .
449,PlayMusic,I want to hear some of  David Gilmour 's music from  1973
450,PlayMusic,Play music from the playlist  Late Night Jazz
451,PlayMusic,Play the  song   Victim Of Changes  from  Hawkshaw Hawkins  on  Spotify
452,PlayMusic,Play the music from the playlist  Get Lit
453,PlayMusic,play  Bra Vibrationer  by  Dean
454,PlayMusic,Play music from the playlist  Get Your Mind Right
455,PlayMusic,Play  Talking To The Universe  on  Itunes
456,PlayMusic,I want to hear the  album   Insult To Injury  by  Narayana Tirtha .
457,PlayMusic,play  latest   Shaggy  music
458,PlayMusic,Play  Slacker  radio.
459,PlayMusic,Will you play a  ballad  from  Mahalaxmi Iyer
460,PlayMusic,use  Spotify  to play  Nina Persson  from  1962
461,PlayMusic,I want toi hear some  Pop Punk Perfection   off of  Deezer
462,PlayMusic,Start up my  Independent Music Monday  playlist.
463,PlayMusic,Play  That Would Be Something  by  Eden Ahbez
464,PlayMusic,Please play  Every Woman In Me
465,PlayMusic,Play some  Ven A Mi
466,PlayMusic,Please play some  fourties  music on  Spotify
467,PlayMusic,Play  Dj Cameo  on  itunes .
468,PlayMusic,play some  gotye
469,PlayMusic,play  This Is Colour  by  Panda Bear
470,PlayMusic,Play songs by  Cheryl Wheeler
471,PlayMusic,Play the  most popular   song  from  Chae Yeon  off of  Spotify
472,PlayMusic,Please play me something by  New Wave Of American Heavy Metal
473,PlayMusic,Play  Deezer
474,PlayMusic,Play me the  best   Charles Neidich   song
475,PlayMusic,I want to hear the  sound track  to  Mary Macgregor  new songs on  Iheart
476,PlayMusic,Play music on the playlist  Electronic Gaming
477,PlayMusic,I want to hear some  Bill Black   chant  music
478,PlayMusic,Play some  thirties  music on  Netflix .
479,PlayMusic,play some  eighties  by  Amirbai Karnataki
480,PlayMusic,Open  Youtube  and play  Connie Francis Sings Spanish And Latin American Favorites  from  Yukiko Iwai
481,PlayMusic,Play the  Ricky Wilson   album   Spectral Dusk
482,PlayMusic,Play  Red Barchetta  by  Blind Lemon Jefferson .
483,PlayMusic,Play the  track   R U Professional  by  Roberto Carlos Braga
484,PlayMusic,play  drive  playlist
485,PlayMusic,Play  Regulate…g Funk Era  by artist  Iouri Bachmet  on  groove shark
486,PlayMusic,play music from  Itunes  for  Ric Grech
487,PlayMusic,Play some music on  Lastfm .
488,PlayMusic,Play  The Fool On The Hill  by  Khwaja Ghulam Farid
489,PlayMusic,Play the  best  songs of  2016
490,PlayMusic,Play something by  Chris Knight
491,PlayMusic,Wish to hear a  concerto  by  Diplo  from  1952
492,PlayMusic,play songs from  Youtube
493,PlayMusic,"Play an  album  from the  fourties ,  new  first."
494,PlayMusic,"Play  Chantal Kreviazuk ,  Sister Ray"
495,PlayMusic,"play  Isaac Hayes  on  Pandora  from  love, sweat and beer ep"
496,PlayMusic,play  Only Hope  by  Graham Bonnet
